English (United States),French (Canada),Context,Created By,Created On,Date,Date2,ExampleFile,KBase ID,Modified By,Modified On,Note,Note2
Final Cut Express HD,Final Cut Express HD,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Final Cut Studio,Final Cut Studio,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Final Repair Confirmation,confirmation de r??paration finale,Kbase Articles,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Final variances,??carts finaux,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Finance & Tax,Finances et taxe,ARW web,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Finance Helpline,assistance t??l??phonique financi??re,P & P,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Finish Request,terminer la requ??te,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Finish Service RTW,terminer le RTW des pi??ces de remplacement,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Finished Goods,produits finis,Kbase Articles,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Finished Goods and WelocalizeCare Reconciliation QuickSheets,sommaires des produits finis et r??conciliation WelocalizeCare,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Finished Goods or Service,produits finis ou services,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Finished Goods RFL Requested (R76) Request Entry,saisie d'une requ??te pour produits finis demand??s (R76),RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Finished Goods RTW team,??quipe des produits finis RTW,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Finished Goods RTW/Return PO Inquiry,produits finis RTW/requ??te pour bon retour,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Finished Goods Sales,ventes de produits finis,POS,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Finished Goods Scrap Request Entry,saisie d'une requ??te de produits finis ?? ??liminer,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Finished Goods Store Initiated Count Sheets,formulaires relatifs au compte de l'ajustement amorc?? par la boutique,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Finished Goods Variance Reconciliation,r??conciliation de l'??cart des produits finis,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
firesale,vente de liquidation,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
firewall,pare-feu,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Firewire cables,c??bles FireWire,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
firmware,micrologiciel,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
First on the Bench repair,r??paration prioritaire,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Fiscal year,ann??e d'exercice,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Fitness,mise en forme,HRweb,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
five,cinq,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
fixtures,installations / dispositif de fixation,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
flat-rate,tarif forfaitaire,Kbase Articles,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
FlexBenefits program,r??gime avantages flexibles,HRweb,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Flextronics,Flextronics,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
floor,plancher,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
floor moves,r??am??nagement de la boutique,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Flowchart,organigramme,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
FOH,Avant-boutique (FOH),,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
For any questions,Si vous avez la moindre question,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
For Welocalize Internal Use Only,Pour circulation interne chez Welocalize seulement,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
For FedEx Ground only,pour FedEx Ground seulement,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
For More Information,Pour de plus amples renseignements,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
FOR RMA's,pour les RMA,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Forms to complete,Formulaires ?? completer,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Fortune 500 companies,entreprises Fortune 500,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
four,quatre,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
fourteen,quatorze,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
FPB (Front Panel Board),panneau avant du tableau logique (FPB),,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Fractional Share Interests,int??r??ts sur la fraction d??action,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
freight claims,r??clamations de fret,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
freight/palletized deliveries,livraisons fret/palettis??es,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Friday,vendredi,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Friends & Family Discount,rabais ?? la famille et aux amis,HRweb,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Front of House,avant-boutique,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,FOH,
Full size keyboard,clavier complet,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Function key,touche fonction,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
fund raiser,collect de fond,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
FY06 Welocalize Store Goals,Objectifs de vente pour l'ann??e financi??re 2006,ARW web,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Games,jeux,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Gather Information,rassembler les renseignements,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
GB,Go,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
GCRM,GCRM,Kbase Articles,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,Global Contact Relationship Manager,
GCRM (Global Contact Relationship Manager),gestionnaire Mondiale des relations clients (GCRM),,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
GD (Graphics Design),design graphique (GD),,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
gel tape,"ruban adh??sif ""gel""",,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
General Information,renseignements g??n??raux,HRweb,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
General Scope of Support for Welocalize Retail Services,port??e g??n??rale du soutien pour l'Welocalize Store,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Genius,Genius,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Genius Room Metrics,mesures de la Genius Rooom,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Genius Room Tools,outils de la Genius Room,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Genius Team,??quipe des Genius,Misc,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
getting started guide,Guide de d??marrage,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
GHz,GHz,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
GI (Goods Issue),probl??me relatif aux marchandises (GI),,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
GIA (Global Information Access),acc??s ?? l??information globale (GIA),,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Gift Card Balance,solde de la carte cadeau,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Gift Card Inquiry,requ??te relative ?? une carte-cadeau,POS,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Gift Card Tender,paiement par carte-cadeau,POS,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Gift Purchase,achat cadeau,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Gigabyte,gigaoctet,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Global Ethics Policy,politique d'??thique globale,P & P,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Global Information Access (GIA),Acc??s ?? l'information Global (GIA),ARW web,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Global Refund??s terminal (GRIPS),terminal du remboursement int??gral (GRIPS),,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Glossary of Terms,glossaire,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
glossy,brillant,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Go,acc??der,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Go live,mise en service,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Go to RTW,aller au RTW,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Goals,objectifs,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
going out on your own,partir ?? son compte,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Goods and Service Tax (GST),taxe sur les produits et services,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Goods Movement,mouvement des marchandises,Kbase Articles,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Goods Receipt process,processus de r??ception des marchandises,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Goods Return Delivery transactions [161],transactions relatives ?? la livraison des retours de marchandises [161],RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Goods Variance Reconciliation,r??conciliation de l'??cart des marchandises,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
GR: (Goods Receipt),GR??: (R??ception des marchandises),RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Grand Opening,ouverture officielle / grande ouverture,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
graphic HQ,??galiseur graphique,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Graphic panels,panneaux graphiques,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
green,vert,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Greeter,pr??pos?? ?? l??accueil des clients,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
grounding strap,bracelet de mise ?? terre,,Admin,26.06.2007 - 06:51:56,,,,,Admin,26.06.2007 - 06:51:56,,
Grow Your Own,Grow Your Own (D??veloppement personnel),,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Growth opportunity,opportunit?? de formation et de perfectionnement,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Guiding Principles,principes de base,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
hand holding,encadrement,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
hands-on session,session pratique,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Hanukkah Begins,d??but de la f??te de Hanoukka,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Hardware,Mat??riel,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Harmonized Sales Tax (HST),taxe de vente harmonis??e,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
HDA# (Hard Disc Assembly No),num??ro d??assemblage du disque dur (HDA#),,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
heatsink,dissipateur thermique,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Help Desk,service d??assistance,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Helpful Tips,conseils pratiques,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
highlight,surligner,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Hint,conseil pratique,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
his peers,un de ses pairs,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
History button,bouton Historique,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
hold,en attente,Kbase Articles,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
holding area,aire d'attente,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Holiday,cong??s f??ri??s,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Holiday Event,??v??nement au cours d??une journ??e f??ri??e,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Holiday Planning,planification pour le temps des f??tes,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Homepage,Accueil / page d'accueil,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Hot Issues,probl??mes urgents,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Hourly Full-time Employee,salari?? horaire ?? temps plein,P & P,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Hours of operation,heures d'ouverture,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
household,foyer / demeure,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
How,comment,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
HP (High Profile),haute visibilit?? (HP),,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
HR Benefits,avantages sociaux HR,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
HR Web,site Web HR,P & P,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
"HR, Staffing & Recruiting","RH, Recrutement et embauche",,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
HRWeb,Site Web HR,ARW web,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Hub,centre de distribution,ICS Training,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Hub ASN,ASN du centre de distribution,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
hub freight program,programme de transport du centre d'exp??dition,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Hub Receiving- for US Hub Shipments ONLY,r??ception du centre de distribution (seulement pour les exp??ditions ?? partir des centres de distribution US),RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Hub shipment or Store transfer Goods Receipt error,erreur lors de la r??ception des marchandises provenant du centre de distribution ou transf??r??es d'une boutique,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Hub shipments,exp??ditions du centre de distribution,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Human Resources Department,service des ressources humaines,HRweb,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Hypercom screen,??cran Hypercom,ARW Postings,Admin,21.09.2006 - 06:41:59,,,L37132A-US.doc,,Admin,21.09.2006 - 06:41:59,,
I am the,je suis le ou la,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
i.e.,c.-??-d. (c'est ?? dire),,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
iBook,iBook,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
iBook FireWire,FireWire iBook,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
IC/Customer hold,IC/mise de c??t?? pour un client,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
iChat,iChat,ARW Postings,Admin,21.09.2006 - 06:41:59,,,L34689A-US.doc,,Admin,21.09.2006 - 06:41:59,,
iChat usage policy,politique d'utilisation d'iChat,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
ICS (Inventory Control Specialist),Contr??leur des stocks (ICS),,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
ICS Checklist,liste de contr??le de l'ICS,ICS Training,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
ICS Training,formation de l'ICS,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
iDental WOAM,WOAM iDental,ARW Postings,Admin,21.09.2006 - 06:41:59,,,L112063A-US.doc,,Admin,21.09.2006 - 06:41:59,,
iForm,iForm (magasins des ??tats-Unis),,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
iLearn in players,iLearn in players,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
iLife '07,iLife '07,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
IM Server,serveur de MI,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
iLinux (Intel),iLinux (Intel),,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
iLinux G5,iLinux G5,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
IMC (Independent Marketing Country),soci??t??s ind??pendantes de marketing (IMC),,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Import Records,importer les dossiers,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Importing Existing Data Into a New Database,importation des donn??es existantes vers une nouvelle base de donn??es,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
In Bound Support Team,??quipe de soutien de la marchandise entrante,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
In Transit Report,rapport des marchandises en transit,ICS Training,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Inbound Support,soutien pour le fret entrant,ICS Training,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
inbox,bo??te de r??ception,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
"inches or """,pouces or po,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Incident report,rapport d'incident,Misc,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
incidental,secondaire,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Income Tax Act,loi de l??imp??t sur le revenu,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Incorrect Tender,mode de paiement incorrect,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Individual Educator,enseignant,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
In-ear headphones,??couteurs ?? oreillettes,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Initiating the Cycle Count process,initialisation de la proc??dure d'inventaire cyclique,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Insider Trading,d??lit d'initi??,P & P,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Inspection Process,proc??dure d??inspection,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
install,installer,Kbase Articles,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
installation service,service d??installation,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Instant Rebate,rabais instantan??,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
In-Store Contests,concours en boutique,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
In-Store Discount,rabais en boutique,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
In-Store HR Manager,gestionnaire des ressources humaines de la boutique,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
in-store kiosk,kiosque en boutique,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
In-Store Library,biblioth??que en boutique,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
In-Store Music,musique en boutique,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
in-store repair,r??paration en boutique,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
In-Store Training,formation en boutique,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Insurance,assurance,HRweb,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
intermittent shutdown,arr??t intermittent,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Internal Escalation,escalade hi??rarchique,Kbase Articles,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Internal Loss,perte interne,P & P,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
In-Transit,en transit,ICS Training,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
in-transit report process,proc??dure de rapport sur les marchandises en transit,ICS Training,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Introducing,Introduction du ??,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Introducing Guide,guide d'introduction,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Introduction,introduction,ARW Postings,Admin,21.09.2006 - 06:41:59,,,L104146A-US.doc,,Admin,21.09.2006 - 06:41:59,,
Inventory & BOH,Stock et arri??re-boutique,ARW web,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Inventory Action Plan,plan d'action relatif ?? l'inventaire,P & P,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Inventory Bucket Flow,mouvements entre les rayons de stocks,ICS Training,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Inventory Bucket Validation,validation des rayons de stocks,RFL,Admin,21.09.2006 - 06:41:59,,,,,Admin,21.09.2006 - 06:41:59,,
Inventory Control & Logistics,contr??le des stocks et logistique,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Inventory Control Specialist Checklist,liste de v??rification du contr??leur des stocks,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Inventory Control Specialist Resources,ressources du contr??leur des stocks,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Inventory Control Support Team,??quipe de soutien du contr??le des stocks,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Inventory Control Team,??quipe de contr??le des stocks,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Inventory Management,gestion des stocks,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Inventory Management (RFL),gestion des stocks (RFL),,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
inventory management system,syst??me de gestion des stocks,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Inventory movements,mouvements de marchandises,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Inventory Performance Matrix,matrice de performance de la gestion des stocks,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Inventory replenisher,pr??pos?? au renouvellement des stocks,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Inventory Tally,prise d'inventaire,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Investigate accidents,enqu??ter sur les accidents,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
Involuntary Termination,d??part involontaire,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
In-Warranty Parts,pi??ces sous garantie,,Admin,26.06.2007 - 06:51:57,,,,,Admin,26.06.2007 - 06:51:57,,
